干预层17，18  
weight  	ASR  NGR
0.1        	0.39  0.00
0.2	0.52  0.00
0.3	0.56  0.00
0.4	0.74  0.00
0.5	0.89  0.00
0.6	0.90  0.00
0.7	0.96  0.01
0.8	0.95  0.00
0.9	0.96  0.05
1.0	0.97  0.16

干预层17，18 ，19
0.1        	0.45  0.00
0.2	0.55  0.00
0.3	0.81  0.00
0.4	0.90  0.00
0.5	0.95  0.00
0.6	0.95  0.03
0.7	0.98  0.18
0.8	0.97  0.56
0.9	0.98  0.78
1.0	0.98  0.80

干预层17，18 ，19，20
0.1        	0.47  0.00
0.2	0.68  0.00
0.3	0.88  0.00
0.4	0.96  0.01
0.5	0.96  0.10
0.6	0.99  0.62
0.7	0.98  0.78
0.8	0.98  0.88
0.9	0.97  0.87
1.0	0.97  0.92
