干预层16，17  
weight  	ASR  NGR
0.1        	0.22  0.00
0.2	0.33  0.00
0.3	0.53  0.00
0.4	0.76  0.01
0.5	0.83  0.00
0.6	0.89  0.00
0.7	0.97  0.00
0.8	0.93  0.00
0.9	0.94  0.01
1.0	0.97  0.01

干预层16，17 ，18
0.1        	0.27  0.00
0.2	0.55  0.00
0.3	0.75  0.00
0.4	0.89  0.00
0.5	0.97  0.00
0.6	0.96  0.00
0.7	0.95  0.00
0.8	0.98  0.04
0.9	0.96  0.03
1.0	0.97  0.08

干预层15，16 ，17，18
0.1        	0.24  0.00
0.2	0.62  0.00
0.3	0.86  0.00
0.4	0.93  0.00
0.5	0.98  0.00
0.6	0.95  0.03
0.7	0.96  0.02
0.8	0.97  0.05
0.9	0.97  0.06
1.0	0.97  0.24
