干预层14，15  
weight  	ASR  NGR
0.1        	0.24  0.00
0.2	0.36  0.00
0.3	0.50  0.01
0.4	0.57  0.00
0.5	0.71  0.00
0.6	0.72  0.00
0.7	0.76  0.00
0.8	0.83  0.01
0.9	0.82  0.01
1.0	0.85  0.09

干预层14，15 ，16
0.1        	0.25  0.00
0.2	0.51  0.00
0.3	0.63  0.00
0.4	0.70  0.00
0.5	0.81  0.00
0.6	0.83  0.01
0.7	0.87  0.06
0.8	0.91  0.30
0.9	0.92  0.58
1.0	0.93  0.74

干预层14，15 ，16，17
0.1        	0.35  0.00
0.2	0.55  0.00
0.3	0.74  0.00
0.4	0.83  0.01
0.5	0.87  0.03
0.6	0.92  0.31
0.7	0.96  0.70
0.8	0.96  0.80
0.9	0.96  0.82
1.0	0.93  0.80
