干预层14，17  
weight  	ASR  NGR
0.1        	0.02  0.00
0.2	0.04  0.00
0.3	0.15  0.00
0.4	0.49  0.00
0.5	0.84  0.00
0.6	0.94  0.02
0.7	0.96  0.03
0.8	0.96  0.21
0.9	0.98  0.38
1.0	0.97  0.58

干预层14，15，17
0.1	0.03  0.00
0.2	0.13  0.00
0.3	0.76  0.00
0.4	0.96  0.01
0.5	0.97  0.11
0.6	0.97  0.20
0.7	0.98  0.53
0.8	0.96  0.82
0.9	0.96  0.97
1.0	0.98  1.00

干预层14，15，17，18
0.1	0.06  0.00
0.2	0.40  0.00
0.3	0.95  0.01
0.4	0.97  0.09
0.5	0.97  0.33
0.6	0.96  0.81
0.7	0.95  0.98
0.8	0.97  1.00
0.9	0.97  1.00
1.0	0.99  1.00

