Trial,alpha_17,alpha_18,alpha_19,alpha_20,ASR,NGR,Score
0,0.6838405355951593,0.8695726371706887,0.3875859487803831,0.272758007160804,0.96,0.37,0.59
1,0.4849426875470275,0.04550231358459034,0.8283573052249043,0.1065227176289284,0.94,0.0,0.94
2,0.06362997860727926,0.41764233146671537,0.01661939811729074,0.46935425466214753,0.82,0.0,0.82
3,0.5839810718082805,0.1343678273448622,0.9826697581343032,0.46507808742540113,0.98,0.24,0.74
4,0.6751162275066256,0.5043964552631092,0.30593469445192234,0.7841533173513785,0.97,0.52,0.44999999999999996
5,0.7617480939029351,0.42990355477830755,0.6620745141219597,0.3072343418120056,0.96,0.24,0.72
6,0.5271328459402586,0.7695801476995613,0.5141476676316965,0.32527442807333284,0.98,0.23,0.75
7,0.05146581720523802,0.5058926533075125,0.5047441185694262,0.2803935088897922,0.92,0.0,0.92
8,0.5059947817729021,0.7850580660684218,0.7372914492228884,0.5536256874860748,0.97,0.71,0.26
9,0.20072251981687772,0.8301542487144651,0.23430934704154271,0.6883664030099074,0.98,0.16,0.82
10,0.94912768937159,0.015465499816549256,0.8691327227279405,0.014759269499996522,0.96,0.05,0.9099999999999999
11,0.29160765988689935,0.5938464499276837,0.607446657324956,0.04985513118601742,0.96,0.02,0.94
12,0.2189532824318059,0.2468000864794279,0.711946844657477,0.011013785723894345,0.91,0.0,0.91
13,0.35574827024733857,0.639515660500122,0.8859411154037568,0.0972648608167321,0.98,0.12,0.86
14,0.3572579025193227,0.3106947632761312,0.6376070402341907,0.17894901116644849,0.94,0.0,0.94
15,0.370542073033868,0.9800607658114323,0.8487744395350403,0.9749647961892515,0.98,0.89,0.08999999999999997
16,0.23874599325909746,0.6481421904828584,0.564050534875185,0.17694051240041336,0.96,0.01,0.95
17,0.1700137684038483,0.6609650348736879,0.36854715064214294,0.1841065635816327,0.94,0.0,0.94
18,0.4275773427988766,0.045490538467662156,0.7798115587136266,0.17025951725057165,0.96,0.0,0.96
19,0.007343351422039235,0.24665426603883484,0.1582158303161455,0.41431156989401924,0.74,0.0,0.74
20,0.9566947326759013,0.3482507654025054,0.5515127493688702,0.5602282369184547,0.99,0.62,0.37
21,0.4429187269859158,0.018984740215050633,0.8179774054368042,0.1487103381305628,0.94,0.01,0.9299999999999999
22,0.41245143032412673,0.12202611412850106,0.9626138404286957,0.21447503703492388,0.96,0.02,0.94
23,0.27001357394925934,0.14871510372518063,0.7676047553895147,0.09783340614431547,0.89,0.0,0.89
24,0.5934902860643646,0.08878674571469539,0.7678305633409781,0.3724168049147599,0.96,0.07,0.8899999999999999
25,0.8066513063256888,0.2390159593686382,0.42840942541643584,0.2271991223505916,0.94,0.01,0.9299999999999999
26,0.48474164885250487,0.7108529300729083,0.5982296923373258,0.11404675897742793,0.95,0.08,0.87
27,0.14668308989115655,0.5904852135355665,0.9219865120762475,0.3748504639894277,0.98,0.24,0.74
28,0.2772936428518228,0.056543103224178326,0.7040119805364959,0.0673937859312023,0.86,0.0,0.86
29,0.6331327320678716,0.1857266784723618,0.8122903222225153,0.22557029103615067,0.97,0.06,0.9099999999999999
