Trial,alpha_17,alpha_19,ASR,NGR,Score
0,0.9028151443737649,0.007926056882326282,0.85,0.0,0.85
1,0.9684619691580009,0.4778204480903149,0.95,0.0,0.95
2,0.28441366147163116,0.43655755627415493,0.64,0.0,0.64
3,0.13109390412896016,0.870177591944042,0.85,0.0,0.85
4,0.9898515894447629,0.8148255926505177,0.93,0.05,0.88
5,0.4015054826200851,0.7613507070805056,0.88,0.0,0.88
6,0.049920699726925255,0.21665026957088906,0.38,0.0,0.38
7,0.19239488253737302,0.3293230261119653,0.54,0.0,0.54
8,0.8269555398962521,0.10280161612162919,0.84,0.0,0.84
9,0.43885827169789393,0.3369708111416635,0.66,0.0,0.66
10,0.6674048595323063,0.6235301164631425,0.92,0.0,0.92
11,0.6938395766129293,0.6274628794814958,0.94,0.01,0.9299999999999999
12,0.6543097723443765,0.5951336521149906,0.9,0.0,0.9
13,0.689216225706234,0.5975989336018381,0.93,0.0,0.93
14,0.7978045780695746,0.5033783934854835,0.93,0.0,0.93
15,0.5959017444663759,0.99825568521981,0.93,0.0,0.93
16,0.9986970198016504,0.5008234553540278,0.95,0.01,0.94
17,0.9841773420115598,0.42999256858490675,0.96,0.0,0.96
18,0.8666389493671435,0.30148354073677236,0.93,0.0,0.93
19,0.7717828970519433,0.22005737581259094,0.88,0.0,0.88
20,0.5518292766761412,0.44785213772301824,0.87,0.0,0.87
21,0.9760582256769882,0.506772057838273,0.95,0.0,0.95
22,0.9139163537685754,0.715212519192433,0.95,0.01,0.94
23,0.9414476165956563,0.39484032579554257,0.95,0.0,0.95
24,0.767446877432385,0.5294363047666802,0.92,0.01,0.91
25,0.9979157610651256,0.24866868593516933,0.91,0.0,0.91
26,0.844237091429543,0.4038565758931172,0.92,0.0,0.92
27,0.8922734162328408,0.5522932453728295,0.96,0.0,0.96
28,0.7409865417231718,0.690937778469282,0.91,0.0,0.91
29,0.8891516978660723,0.1688984343137045,0.91,0.0,0.91
