Trial,alpha_18,alpha_19,alpha_20,ASR,NGR,Score
0,0.7092194360561042,0.7560567430493622,0.1775837726976376,0.98,0.03,0.95
1,0.44691183487607544,0.38440724553908123,0.743852682610742,0.95,0.01,0.94
2,0.9281197280645407,0.6178557479093624,0.8245506192861509,0.98,0.61,0.37
3,0.3949092818273342,0.027314312967825827,0.6411384113811985,0.91,0.0,0.91
4,0.5439114318637372,0.03717697373295148,0.5655255575571713,0.87,0.01,0.86
5,0.6795681876485872,0.408992166453936,0.6395367659263402,0.96,0.04,0.9199999999999999
6,0.10631179592973694,0.3263344752924636,0.5569402552988031,0.86,0.0,0.86
7,0.4006577915213789,0.32212900244055787,0.5892123817041524,0.92,0.0,0.92
8,0.10974367175080124,0.7465540465968131,0.5118345393029347,0.91,0.0,0.91
9,0.25562164226032846,0.28744690571930653,0.5548327775726852,0.87,0.0,0.87
10,0.8762607953274174,0.9834134951471513,0.1404869626180049,0.99,0.23,0.76
11,0.6831553826085976,0.8135598918515506,0.1340660827004977,0.97,0.03,0.94
12,0.6936472186828972,0.5500762567190982,0.3123336197449805,0.96,0.02,0.94
13,0.5289234151493657,0.7294136596654268,0.9842940011509256,0.99,0.59,0.4
14,0.8172825426269523,0.9040059768581066,0.33931548773338355,0.98,0.28,0.7
15,0.3108556820772174,0.1693670503033034,0.028298487815865192,0.56,0.0,0.56
16,0.591018881522008,0.6203583488789715,0.7954053597813675,0.97,0.22,0.75
17,0.7813909910667589,0.4687148034527703,0.3666566701955495,0.96,0.05,0.9099999999999999
18,0.4128050871973121,0.17709911289490254,0.7740163457745516,0.94,0.0,0.94
19,0.23224760843107206,0.6547226142539277,0.9680352261817755,0.96,0.28,0.6799999999999999
20,0.0009730010304926928,0.5023634569182871,0.4251725381741396,0.81,0.0,0.81
21,0.6442691846269145,0.8417441106257807,0.20633409599140123,0.96,0.05,0.9099999999999999
22,0.7245422694286313,0.8245491016565635,0.06294824866790955,0.99,0.02,0.97
23,0.9976600494742075,0.9932403787949257,0.0701964716844352,0.99,0.28,0.71
24,0.7642911994303172,0.7836201399989434,0.25954812359683566,0.99,0.07,0.9199999999999999
25,0.47215274749372216,0.6751861744793372,0.18508907493168275,0.92,0.0,0.92
26,0.6058368688974844,0.8770924612869547,0.02833705200531078,0.95,0.01,0.94
27,0.757220625997662,0.42130298469148825,0.7136342941496902,0.98,0.2,0.78
28,0.8887710796072454,0.5798654715131372,0.4096334201226898,0.98,0.16,0.82
29,0.47816940796090734,0.7133176491800678,0.875161319360443,0.97,0.34,0.6299999999999999
