Trial,alpha_15,alpha_16,alpha_17,alpha_18,ASR,NGR,Score
0,0.286995884779197,0.6750800368290844,0.9786093028838473,0.5586699840355909,0.95,0.03,0.9199999999999999
1,0.8000869157224189,0.6246079437673414,0.6926895280411336,0.44861968143842,0.97,0.03,0.94
2,0.933653546323204,0.5780534435996263,0.24517503480613334,0.1106840053323207,0.96,0.0,0.96
3,0.9090193904662123,0.08669770753892891,0.10171867302785143,0.5202876561763499,0.92,0.0,0.92
4,0.8308551783248725,0.7027056662581754,0.8277242144847565,0.7865102767518646,0.97,0.01,0.96
5,0.12987471757607016,0.1898530696363746,0.8731509063561531,0.6744546210262647,0.97,0.01,0.96
6,0.5131691047471928,0.9972151593203237,0.10663035871260762,0.5290867327306329,0.97,0.01,0.96
7,0.3471830230412929,0.1350512090399063,0.3476134283382021,0.44453422253274466,0.89,0.0,0.89
8,0.7187645097387872,0.6759760899332575,0.38595291051845315,0.6992794151540868,0.96,0.02,0.94
9,0.5873536130264759,0.28035790481548506,0.35463183896121075,0.4811437003595922,0.96,0.01,0.95
10,0.9745654406356684,0.39760268351549016,0.584981337644721,0.01606609213060603,0.94,0.0,0.94
11,0.7431182120604174,0.8731161251340942,0.7450633932541808,0.9875455326437015,0.96,0.07,0.8899999999999999
12,0.9625074566673396,0.4975366699310704,0.20250534212312932,0.018306236640510523,0.9,0.0,0.9
13,0.6500056365164297,0.8024303774383792,0.5033858077022229,0.22516353088908497,0.96,0.0,0.96
14,0.8273160455175796,0.4966672047483416,0.2093528101004581,0.9887878911235051,0.98,0.01,0.97
15,0.3860617754557626,0.4717747883567724,0.23498682315116518,0.2396935641374046,0.88,0.0,0.88
16,0.8524606034345169,0.37390395364938545,0.2306808154307759,0.9717271188877544,0.99,0.0,0.99
17,0.6403845788419876,0.32989774923721776,0.021269160208067794,0.9766239542535368,0.95,0.01,0.94
18,0.0497209288430428,0.0032095837795551585,0.4715663217000337,0.8765706793962568,0.96,0.0,0.96
19,0.8422676356209627,0.3880772523185658,0.009200289965025421,0.834616112456828,0.95,0.0,0.95
20,0.48478398162161745,0.2821176674340668,0.1622909363833267,0.9091625756100735,0.98,0.01,0.97
21,0.45499541783044833,0.2528033429198185,0.16262402160687894,0.9112983388277379,0.96,0.01,0.95
22,0.5390977847391218,0.40078968230815826,0.33798358246718335,0.7568538843727023,0.95,0.01,0.94
23,0.26627330277441363,0.5458652096515155,0.28770326282813585,0.9233089237678276,0.93,0.0,0.93
24,0.718616727868461,0.23107654435893232,0.4636370459939464,0.9976010013116523,0.98,0.0,0.98
25,0.7420069409846568,0.4461133067977828,0.4560084545654543,0.9943713348490691,0.97,0.01,0.96
26,0.8749867001936081,0.19136433108612272,0.5854960871079843,0.8168576391053184,0.96,0.0,0.96
27,0.6730920510643175,0.3392430151954525,0.4396126441634534,0.6510733373879691,0.96,0.0,0.96
28,0.7781876109735963,0.07426247754289084,0.583032044648387,0.7269467639766971,0.96,0.0,0.96
29,0.5843464000123949,0.21309161783178207,0.9804682324411662,0.8455465206485326,0.97,0.05,0.9199999999999999
