Trial,alpha_15,alpha_16,alpha_18,ASR,NGR,Score
0,0.730668725533112,0.2996942125287463,0.8209497757888713,0.95,0.0,0.95
1,0.9243919291315635,0.5225548853776464,0.539107011638969,0.96,0.0,0.96
2,0.15266017613341654,0.4907515609570433,0.6376562938274384,0.86,0.0,0.86
3,0.3088686963057652,0.5306590561595202,0.806678124037263,0.92,0.01,0.91
4,0.2431758885873757,0.9510997132430331,0.27944219805697,0.87,0.0,0.87
5,0.746028337936083,0.31105809622885094,0.9189610115095664,0.94,0.0,0.94
6,0.7504949142816638,0.04773818867762314,0.6406167426496162,0.83,0.0,0.83
7,0.898008427475005,0.5752345398820143,0.10125236325375186,0.84,0.0,0.84
8,0.8324130192445932,0.47341220824837604,0.04578357671314759,0.74,0.0,0.74
9,0.7315628699823419,0.29183654986488283,0.43461061951235835,0.83,0.01,0.82
10,0.4679512011964596,0.832703720200424,0.3865074041069321,0.91,0.02,0.89
11,0.9778328261690987,0.15848096472629797,0.9905496323734756,0.98,0.0,0.98
12,0.9952339063923447,0.03149243440998506,0.6400841686970641,0.9,0.0,0.9
13,0.5570881513712007,0.6928636078762789,0.9729637974769281,0.97,0.01,0.96
14,0.964419897537109,0.1852789971119304,0.2650667596903311,0.81,0.0,0.81
15,0.5448565783447717,0.6989367849953703,0.5330224992984745,0.94,0.01,0.9299999999999999
16,0.869837243636003,0.15826749680333663,0.8098538392320587,0.94,0.01,0.9299999999999999
17,0.007001767732969233,0.406213634302268,0.18454809362391644,0.45,0.0,0.45
18,0.6073934191545711,0.6812932393875115,0.5335882091718394,0.95,0.0,0.95
19,0.4343382916654317,0.17551093961844066,0.7129229198136824,0.83,0.0,0.83
20,0.6335398222577089,0.3834403392382741,0.3797405098125828,0.86,0.0,0.86
21,0.8905210034922751,0.6290399918596671,0.9579090506003233,0.98,0.01,0.97
22,0.9060349067260809,0.6201187567062892,0.9027876886519002,0.98,0.01,0.97
23,0.8200317498175381,0.780320403531624,0.9950502538805045,0.94,0.02,0.9199999999999999
24,0.9569906931409854,0.6278700806693546,0.891054278875788,0.98,0.01,0.97
25,0.9994022920010266,0.8965438532797032,0.8857684532692081,0.98,0.01,0.97
26,0.8153001742469974,0.7987287733356037,0.7356165306146152,0.98,0.01,0.97
27,0.6336647725807012,0.6056472750548216,0.9442765735200274,0.96,0.01,0.95
28,0.8982729124847245,0.39530311280801755,0.7438322392275665,0.93,0.0,0.93
29,0.6879215932919439,0.2536220049896889,0.8644063540254547,0.95,0.01,0.94
