Trial,alpha_16,alpha_18,ASR,NGR,Score
0,0.3349627406347344,0.08383191349483776,0.28,0.0,0.28
1,0.36255901055613593,0.14045146242573747,0.34,0.01,0.33
2,0.247597446336547,0.4579217427347332,0.45,0.0,0.45
3,0.3202817933652714,0.651662565160797,0.65,0.01,0.64
4,0.42292843085098397,0.14069924677159695,0.42,0.01,0.41
5,0.22197836539910265,0.3866104670256053,0.38,0.0,0.38
6,0.39913688616644105,0.598711251884975,0.67,0.0,0.67
7,0.2739874644339412,0.07658491750878649,0.21,0.0,0.21
8,0.7358864569538477,0.8908583500644638,0.96,0.0,0.96
9,0.7972531313850824,0.44799989007858554,0.83,0.0,0.83
10,0.7088251058679698,0.9117684820590278,0.94,0.0,0.94
11,0.7016169640290616,0.9937842123634112,0.94,0.0,0.94
12,0.981399312655436,0.9851327817323658,0.97,0.0,0.97
13,0.9678259954400391,0.8349173102093246,0.93,0.01,0.92
14,0.929745958435333,0.7841399493606891,0.94,0.0,0.94
15,0.5723495648685615,0.7891830242608272,0.9,0.0,0.9
16,0.845964340983041,0.9973555293899518,0.97,0.01,0.96
17,0.020466125380595446,0.6521467742124201,0.42,0.01,0.41
18,0.5742766986994334,0.26767843489325416,0.44,0.0,0.44
19,0.816524190841564,0.8687765937599226,0.95,0.0,0.95
20,0.6853572814735616,0.7499367682553699,0.91,0.01,0.9
21,0.8669053946477663,0.9496340025850102,0.96,0.0,0.96
22,0.9856663404016696,0.9873085326465226,0.97,0.0,0.97
23,0.9724868619926054,0.8850227765805501,0.95,0.01,0.94
24,0.8979549310975492,0.7110975016231089,0.92,0.0,0.92
25,0.9943176321990136,0.9248715437112367,0.95,0.0,0.95
26,0.7503289329675712,0.8445494413669802,0.96,0.0,0.96
27,0.599607463171,0.555772815583176,0.77,0.0,0.77
28,0.8989555008788057,0.9797624753615959,0.97,0.0,0.97
29,0.9292549358486127,0.9959179130597913,0.98,0.0,0.98
