Trial,alpha_14,alpha_15,ASR,NGR,Score
0,0.012592081194939597,0.7762688558216708,0.65,0.0,0.65
1,0.9545179933664137,0.295164743730877,0.74,0.0,0.74
2,0.2507556009106059,0.4367359584893812,0.53,0.0,0.53
3,0.058949027268304866,0.8692987284934331,0.7,0.0,0.7
4,0.7901608233699202,0.6283739317158547,0.82,0.01,0.8099999999999999
5,0.8081565180151525,0.56878240749758,0.76,0.01,0.75
6,0.17569414619469748,0.7876699766082325,0.71,0.0,0.71
7,0.5447207356262059,0.3483744096188698,0.63,0.01,0.62
8,0.11420290381396303,0.21717017003902706,0.29,0.0,0.29
9,0.20218583747655638,0.1791742726745399,0.36,0.0,0.36
10,0.615732613126394,0.6586052732368388,0.73,0.01,0.72
11,0.858468975657277,0.5470354073639072,0.74,0.01,0.73
12,0.7360218204702444,0.5881561711727795,0.76,0.01,0.75
13,0.40200542305489945,0.008776892904824418,0.36,0.0,0.36
14,0.7433067858271352,0.947318274726241,0.83,0.02,0.8099999999999999
15,0.6588267558799197,0.9383983795248565,0.82,0.0,0.82
16,0.40727517853401174,0.7094692765365441,0.7,0.0,0.7
17,0.6569668366966843,0.9584965116851811,0.83,0.0,0.83
18,0.6485735523738289,0.9698961352841835,0.84,0.01,0.83
19,0.4677458049983345,0.9797238534038932,0.79,0.0,0.79
20,0.9554470540068418,0.8378670453525283,0.84,0.03,0.8099999999999999
21,0.6392990788871146,0.9388434632050434,0.82,0.01,0.8099999999999999
22,0.6335176966345801,0.896895112287839,0.81,0.0,0.81
23,0.5463509965173435,0.9998116030835831,0.82,0.0,0.82
24,0.6874944408798997,0.7315744646279919,0.8,0.0,0.8
25,0.3615494554907188,0.849935040040247,0.77,0.0,0.77
26,0.8642109466137808,0.805045306610645,0.85,0.01,0.84
27,0.8940513596309924,0.7960339772976872,0.83,0.02,0.8099999999999999
28,0.8664182404998506,0.47654482344987975,0.72,0.04,0.6799999999999999
29,0.5563462128158199,0.7108615465355503,0.73,0.0,0.73
