Trial,alpha_14,alpha_15,alpha_16,alpha_17,ASR,NGR,Score
0,0.33512193906230103,0.75205291047662,0.34660927036478484,0.3890842320408002,0.87,0.01,0.86
1,0.7874011344106177,0.7926925006897366,0.48882331358331177,0.569746343613031,0.92,0.45,0.47000000000000003
2,0.14967529163871818,0.3574230046426031,0.604703289982358,0.7713363981954917,0.85,0.05,0.7999999999999999
3,0.6943802783547235,0.7463045036570614,0.9285376960934315,0.7895288931426827,0.96,0.8,0.15999999999999992
4,0.5695562198158609,0.21814823274273454,0.8492830162231337,0.4078203237337683,0.91,0.15,0.76
5,0.8161510522432498,0.0026102209163694212,0.3972740590791526,0.165850132382237,0.78,0.0,0.78
6,0.9056012519962046,0.9202609439340116,0.7607929806869678,0.9885629723625214,0.96,0.84,0.12
7,0.8389532359629004,0.705484655924049,0.6853430076271506,0.7764321663737671,0.94,0.76,0.17999999999999994
8,0.14684125067104004,0.07037105042269898,0.9143781174501674,0.3447433282684069,0.82,0.03,0.7899999999999999
9,0.7394293163667668,0.6337512986963981,0.4119073702434295,0.19203929515382623,0.87,0.02,0.85
10,0.3826673694946282,0.4898438672631675,0.0782288833870069,0.04774477376342645,0.7,0.0,0.7
11,0.3748556296617578,0.5758532104848672,0.23834465321309506,0.28238830869358766,0.84,0.0,0.84
12,0.5381352127439747,0.9549052125066898,0.3385346896133078,0.030172540410744353,0.86,0.02,0.84
13,0.3104789695164191,0.5798878097361461,0.15873373853652506,0.5316855981861812,0.79,0.0,0.79
14,0.66956622541344,0.41188943796890976,0.5363227170617559,0.17655162579633027,0.83,0.04,0.7899999999999999
15,0.9856268919532492,0.667128665918526,0.3380677432958385,0.2193526371520234,0.91,0.12,0.79
16,0.2461603207903149,0.878855120681994,0.038198277929091584,0.43736549647120004,0.85,0.0,0.85
17,0.058712583084153835,0.8017670056099812,0.23325140136923048,0.6372444184394104,0.86,0.0,0.86
18,0.016062579383413184,0.8260876204051136,0.20268863602418363,0.625791736285916,0.87,0.01,0.86
19,0.017981847797747585,0.9827212391213251,0.24403008680584726,0.6620358190161848,0.89,0.05,0.84
20,0.13560993496602722,0.8328088815210769,0.10665422745474909,0.9328357770188411,0.88,0.08,0.8
21,0.006660479209589287,0.7950273583663278,0.21635923601631862,0.6454244612294494,0.83,0.02,0.8099999999999999
22,0.08072887473093515,0.866024893992858,0.0034005313070786802,0.6128121486140348,0.87,0.0,0.87
23,0.23953299639644482,0.6974917985625262,0.02707973922975509,0.4792615049542452,0.82,0.0,0.82
24,0.09833158998399136,0.893451461931579,0.3184522518929739,0.7175090018973971,0.89,0.06,0.8300000000000001
25,0.4688068393773229,0.7557468392149345,0.13433587739655933,0.8533424519184419,0.9,0.19,0.71
26,0.21424714964003586,0.9880238198476932,0.0060069835945466,0.5714861541902347,0.87,0.03,0.84
27,0.07970228164864634,0.5848214360550372,0.4470589921562871,0.3425737492094573,0.78,0.01,0.77
28,0.3662665083833318,0.4999233885032927,0.2920233273362947,0.4819008831904169,0.86,0.0,0.86
29,0.20769110616446274,0.8503008852697779,0.5371212872803638,0.3900717350742492,0.9,0.08,0.8200000000000001
