Trial,alpha_14,alpha_15,alpha_17,ASR,NGR,Score
0,0.3125771320594397,0.5102709863538039,0.8024157534783072,0.85,0.0,0.85
1,0.32749357286312175,0.49515130138501884,0.2596972535884611,0.71,0.0,0.71
2,0.9883901697380623,0.2670078749135336,0.525002566565071,0.86,0.03,0.83
3,0.5457143737440461,0.47754494765079725,0.2511167285459749,0.75,0.0,0.75
4,0.7143541706322271,0.32749218382762424,0.7101505273641572,0.89,0.04,0.85
5,0.9343547844170618,0.7019101850510173,0.7271528740530123,0.92,0.21,0.7100000000000001
6,0.319312644589148,0.5705610185184572,0.49726094678154686,0.8,0.0,0.8
7,0.506811577881795,0.2222718242915127,0.6210808633346716,0.77,0.0,0.77
8,0.14743088232421941,0.34726374380871494,0.9747026393448122,0.84,0.01,0.83
9,0.47387476474228596,0.5598291179211543,0.8041681735749748,0.84,0.02,0.82
10,0.06592140568776128,0.9642647995039505,0.9851801914219547,0.87,0.05,0.82
11,0.726052527746805,0.7809555008279012,0.7588975347497746,0.9,0.13,0.77
12,0.7275259050644807,0.16488115784833024,0.41317596249852195,0.76,0.0,0.76
13,0.7274237944598916,0.019164130441488014,0.07171260931447365,0.54,0.02,0.52
14,0.2640900993605244,0.36785652441942923,0.8438575363651251,0.84,0.0,0.84
15,0.6286837857512242,0.7176521301723728,0.6463373864777469,0.89,0.02,0.87
16,0.43482210029617707,0.743915220975836,0.6044790194531293,0.84,0.02,0.82
17,0.6313120617159073,0.8921949067117891,0.8766015273807719,0.89,0.24,0.65
18,0.8811021589834143,0.8567135703888761,0.3554686616320957,0.82,0.08,0.74
19,0.1807742829969678,0.6463699956161096,0.6246361508597651,0.83,0.0,0.83
20,0.39799763922530557,0.6469888577170665,0.918339695890967,0.89,0.04,0.85
21,0.608159827593706,0.4094216036996172,0.6733874340915132,0.84,0.02,0.82
22,0.8284348284473806,0.0662921954555925,0.7467982440521419,0.88,0.0,0.88
23,0.8455769681416666,0.08037821227908953,0.7974692864183561,0.89,0.01,0.88
24,0.8299066635751409,0.00769780468736183,0.5052870376583034,0.77,0.0,0.77
25,0.8351429881103477,0.0967008231753742,0.6754503885360745,0.89,0.0,0.89
26,0.8046699838752112,0.12036893310383646,0.9015838773284951,0.88,0.0,0.88
27,0.8233969940934422,0.09329561474345205,0.7775971134706885,0.88,0.0,0.88
28,0.9889542705672959,0.08421480506245406,0.5702674972675781,0.84,0.0,0.84
29,0.8878503222253662,0.20399247840984258,0.8156234754209613,0.89,0.06,0.8300000000000001
