Trial,alpha_15,alpha_17,ASR,NGR,Score
0,0.886647871881368,0.6375756123814414,0.88,0.0,0.88
1,0.5548058983832256,0.2979011635246491,0.64,0.0,0.64
2,0.6088948994268775,0.709465796770788,0.76,0.0,0.76
3,0.34219350165669604,0.616978173980229,0.65,0.0,0.65
4,0.1257459215318576,0.45956955948496225,0.38,0.01,0.37
5,0.8101288289593845,0.09409982302738973,0.7,0.0,0.7
6,0.6580508337345156,0.8746029379443033,0.86,0.0,0.86
7,0.42366390663951137,0.2298137753924857,0.51,0.0,0.51
8,0.671610905132868,0.7449784854899213,0.83,0.01,0.82
9,0.27968276053847285,0.41859589106396033,0.46,0.0,0.46
10,0.9739859967008473,0.9267964865071451,0.87,0.04,0.83
11,0.8401370405037403,0.9928121692271947,0.86,0.03,0.83
12,0.7782917141658928,0.8603283336742705,0.87,0.01,0.86
13,0.9813901182542218,0.5977738163129863,0.83,0.0,0.83
14,0.7160773914982945,0.7958639051121801,0.86,0.01,0.85
15,0.8929920809515813,0.5904575837680689,0.83,0.0,0.83
16,0.4846305653465224,0.8517481665126665,0.78,0.0,0.78
17,0.00382388270989098,0.6994140586614785,0.44,0.01,0.43
18,0.6691594515275844,0.5134373301198499,0.77,0.0,0.77
19,0.8980019079405211,0.9954485763470369,0.89,0.01,0.88
20,0.9138258188095225,0.003350931282951941,0.71,0.0,0.71
21,0.7760642560806236,0.9875404370117372,0.85,0.02,0.83
22,0.8716396647047114,0.9076780149930429,0.86,0.01,0.85
23,0.7139736696245554,0.8102513870701464,0.86,0.0,0.86
24,0.9908786477541083,0.9248288866213106,0.91,0.04,0.87
25,0.9812971543539366,0.9618929080314772,0.87,0.04,0.83
26,0.9048220307219288,0.6709199474548483,0.85,0.0,0.85
27,0.9857310534009884,0.35343837621626445,0.8,0.0,0.8
28,0.7653497283543593,0.7968879063669135,0.87,0.0,0.87
29,0.507793659783392,0.5292738899200511,0.72,0.0,0.72
