Trial,alpha_14,alpha_15,alpha_17,alpha_18,ASR,NGR,Score
0,0.7090020254769578,0.280780546429367,0.8892426755305523,0.5977223148149242,0.98,0.94,0.040000000000000036
1,0.18012309329279552,0.5946669466973636,0.31346231618510023,0.19816617198466657,0.96,0.0,0.96
2,0.5225232380308221,0.781968401651412,0.5738452115001756,0.9699904664000493,0.96,1.0,-0.040000000000000036
3,0.8912220195408754,0.13704536023013725,0.776327416781955,0.0005906519984636427,0.97,0.37,0.6
4,0.7654972792695516,0.8000168680687969,0.8406699211453337,0.9804851313700211,0.97,1.0,-0.030000000000000027
5,0.7019546280811141,0.47722052102449675,0.12037319388480539,0.12937484324343207,0.97,0.05,0.9199999999999999
6,0.5255747442027364,0.32917521509693914,0.22503972040429243,0.4825400188581912,0.98,0.05,0.9299999999999999
7,0.39064595568989646,0.297291928901944,0.7325173732889307,0.36236776365390067,0.97,0.18,0.79
8,0.919022017829488,0.5699127207622051,0.07936638588259315,0.5175289369291179,0.95,0.59,0.36
9,0.3309427878800836,0.3776988693190898,0.5275783343176836,0.3129711093677463,0.97,0.08,0.89
10,0.010254831306869772,0.980594616259604,0.32745418318201197,0.7061993980293515,0.97,0.55,0.41999999999999993
11,0.12474417532214019,0.013670887126368658,0.2997035239287739,0.3011365615367484,0.18,0.0,0.18
12,0.22432981640732363,0.6357739030438767,0.30637334260306087,0.7794630641060535,0.98,0.36,0.62
13,0.5241863472435193,0.4559482269750782,0.19670515264065708,0.16510865176681433,0.95,0.0,0.95
14,0.39731331939180414,0.6712348162976793,0.43311917102685804,0.15919641195748452,0.97,0.15,0.82
15,0.5868025687348757,0.4711528371331602,0.007467995569824137,0.15678869346869984,0.97,0.03,0.94
16,0.26093846540234467,0.7564754793712196,0.17415705660550712,0.008787048810643294,0.96,0.01,0.95
17,0.11011772967960054,0.9480636585813895,0.42714221780906864,0.23031589449705123,0.97,0.18,0.79
18,0.6243992715730451,0.5538100187552809,0.6695467526857712,0.41670975170171026,0.99,0.65,0.33999999999999997
19,0.41403799941157815,0.4383244901122562,0.9667012868788122,0.07876457756894484,0.98,0.26,0.72
20,0.19801966278953953,0.18198183689007275,0.40998245671276984,0.21965660226880224,0.8,0.0,0.8
21,0.286756353873702,0.7244913485492274,0.19854910822900806,0.01741102362170209,0.96,0.01,0.95
22,0.09427635892478593,0.901976028758878,0.1737930229459294,0.08566762014871321,0.96,0.03,0.9299999999999999
23,0.2604825591504973,0.8296504554716505,0.014853701854455004,0.24432836933807317,0.94,0.03,0.9099999999999999
24,0.4472965008525845,0.6013109957075695,0.3031991245762674,0.07077887160742,0.96,0.06,0.8999999999999999
25,0.00580435654060818,0.6957872699142066,0.2243133027355988,0.1764313020371564,0.91,0.0,0.91
26,0.3331997918447991,0.5495758298626331,0.12985607471782368,0.2829084524094799,0.97,0.0,0.97
27,0.3544286464971758,0.5273976381878183,0.09721616049424678,0.37947408570071606,0.96,0.01,0.95
28,0.4629209808661724,0.39727730187197463,0.3874307968614995,0.2914530435964975,0.98,0.02,0.96
29,0.1927762247996189,0.1974552999533099,0.5966187066146584,0.47009389250476563,0.96,0.08,0.88
