Trial,alpha_14,alpha_17,alpha_18,ASR,NGR,Score
0,0.7444170682767225,0.5201108235245966,0.75486825205942,0.95,0.44,0.51
1,0.36786688779311594,0.9429195727503998,0.8735701453213363,0.98,0.78,0.19999999999999996
2,0.15742780797401923,0.39899090340608534,0.41697640801188596,0.81,0.0,0.81
3,0.44771244465117754,0.8003454179319295,0.3979199617340795,0.94,0.18,0.76
4,0.6437565792567767,0.2473666971429005,0.015365960804131218,0.76,0.0,0.76
5,0.8365858642481564,0.7127807582334327,0.32250284015378095,0.98,0.33,0.6499999999999999
6,0.3995973900498282,0.9399378985850676,0.2956843987447151,0.95,0.11,0.84
7,0.055867961423754164,0.26331981025976714,0.8198812670129597,0.91,0.01,0.9
8,0.9355729673047141,0.5926846381094364,0.7524925680539251,0.97,0.75,0.21999999999999997
9,0.47218516765030183,0.945393399633193,0.01464642305960484,0.95,0.06,0.8899999999999999
10,0.07835845270372573,0.05378457565680547,0.9924853487190262,0.92,0.01,0.91
11,0.005948364917549215,0.006022510496458952,0.9796571806879514,0.84,0.02,0.82
12,0.17038808730781196,0.047774509538881293,0.6356846308435382,0.31,0.0,0.31
13,0.039803287613368855,0.2271242021246691,0.972788949993806,0.95,0.05,0.8999999999999999
14,0.2388401792575316,0.19739256608335448,0.6601250943098824,0.88,0.0,0.88
15,0.28225551396848925,0.33644407938537657,0.8497482818754599,0.96,0.06,0.8999999999999999
16,0.11554822070773829,0.10925119113665366,0.5911465535943857,0.31,0.0,0.31
17,0.6383418501681606,0.38228968922175977,0.8594144957136409,0.94,0.33,0.6099999999999999
18,0.28315526782884837,0.1402539602878583,0.9613599158626477,0.97,0.02,0.95
19,0.29463993270770467,0.12289759744279916,0.9907780386239657,0.97,0.02,0.95
20,0.2952950535992527,0.14315402571045477,0.5574792609100894,0.59,0.0,0.59
21,0.5660388651843212,0.09258011429053023,0.9949425953954842,0.98,0.09,0.89
22,0.24745403793049292,0.012681468643432225,0.9231698475908322,0.92,0.0,0.92
23,0.3304558437048684,0.15794306033355154,0.9123394905768525,0.96,0.02,0.94
24,0.35713320362903717,0.15346198893447827,0.7376888401633466,0.94,0.0,0.94
25,0.5165764383309361,0.4722425097689755,0.8984343972127118,0.94,0.28,0.6599999999999999
26,0.22040084337691082,0.3032948788150667,0.7997474073358632,0.96,0.05,0.9099999999999999
27,0.3245492029553483,0.17018097586307224,0.16491199377393573,0.21,0.0,0.21
28,0.16303405566182905,0.3324096175966009,0.683336191133241,0.95,0.03,0.9199999999999999
29,0.4227235780371803,0.4767903710389996,0.9211352755645911,0.94,0.31,0.6299999999999999
