Trial,alpha_15,alpha_18,ASR,NGR,Score
0,0.8864431009419746,0.15578914542970324,0.9,0.01,0.89
1,0.07705968749137493,0.7122710733240057,0.3,0.0,0.3
2,0.20748529783526215,0.17917006871693586,0.05,0.0,0.05
3,0.7075554599767073,0.5192418287209392,0.97,0.01,0.96
4,0.5284604597907111,0.6898878246833545,0.98,0.01,0.97
5,0.7729406453982954,0.15337626592816733,0.76,0.0,0.76
6,0.1630802719732476,0.8651925761931757,0.83,0.0,0.83
7,0.4399081645989519,0.9675225170874678,0.95,0.05,0.8999999999999999
8,0.09445011202427311,0.4752515925864379,0.06,0.0,0.06
9,0.20775655065988108,0.38723677647833876,0.06,0.0,0.06
10,0.46430918970006174,0.7002405165274204,0.96,0.01,0.95
11,0.6784370516889634,0.6036026250448328,0.95,0.04,0.9099999999999999
12,0.5894365396593222,0.3500743677793036,0.71,0.0,0.71
13,0.9201741337273519,0.6271420241247544,0.98,0.16,0.82
14,0.3598592546891212,0.8203829185926385,0.94,0.02,0.9199999999999999
15,0.7107876178243038,0.4934035700081716,0.95,0.0,0.95
16,0.5659018177431376,0.024965765490658764,0.12,0.0,0.12
17,0.350547672960998,0.3666755444950993,0.11,0.0,0.11
18,0.8341127045282198,0.5968195143592602,0.97,0.05,0.9199999999999999
19,0.6394384503366466,0.789987242082367,0.97,0.06,0.9099999999999999
20,0.5381543606985572,0.9239169613795388,0.96,0.09,0.87
21,0.4570347910398587,0.7023321044436164,0.95,0.0,0.95
22,0.991323149615208,0.7229562177748885,0.95,0.29,0.6599999999999999
23,0.4100277026128429,0.6209570936914105,0.81,0.0,0.81
24,0.3173750603754395,0.5329422163317794,0.41,0.0,0.41
25,0.7486540907847523,0.7610199367647275,0.94,0.14,0.7999999999999999
26,0.4768396454977662,0.41456558830557233,0.53,0.0,0.53
27,0.657015544526672,0.6624519036248266,0.95,0.02,0.9299999999999999
28,0.5973056941870878,0.2833098456644266,0.59,0.0,0.59
29,0.8122897111661096,0.54846201786835,0.96,0.05,0.9099999999999999
