Trial,alpha_17,alpha_18,ASR,NGR,Score
0,0.4987228574117968,0.2017626124001649,0.33,0.0,0.33
1,0.41104234966401476,0.2018074100692424,0.07,0.0,0.07
2,0.5312780928303765,0.6282658968106373,0.94,0.06,0.8799999999999999
3,0.2664881148120737,0.27869312565734683,0.05,0.0,0.05
4,0.9231941884646304,0.9120675274586348,0.98,0.68,0.29999999999999993
5,0.7346215152977477,0.4798283196282026,0.93,0.09,0.8400000000000001
6,0.8801428967075603,0.1857216318517072,0.93,0.01,0.92
7,0.8083251101324914,0.295234106351824,0.92,0.02,0.9
8,0.9169688494988443,0.24159277015413172,0.97,0.05,0.9199999999999999
9,0.43542622029991307,0.4462865681559881,0.83,0.0,0.83
10,0.09608765781663597,0.052046775116738386,0.02,0.0,0.02
11,0.9890387436777535,0.03086368482372351,0.95,0.01,0.94
12,0.684348122040235,0.01115152064809257,0.39,0.0,0.39
13,0.9985382455224219,0.013807856525490485,0.93,0.01,0.92
14,0.6428825649067277,0.6525400120853153,0.96,0.07,0.8899999999999999
15,0.818356717497915,0.12707443166446514,0.89,0.0,0.89
16,0.9789498101188586,0.3644886197226345,0.96,0.14,0.82
17,0.8401909695848793,0.9798630800616683,0.97,0.69,0.28
18,0.6104949527405354,0.120598182655435,0.48,0.0,0.48
19,9.727663261460684e-05,0.6098823796970326,0.07,0.0,0.07
20,0.7550866738001897,0.8150599137152393,0.97,0.29,0.6799999999999999
21,0.9829970702631903,0.014853609111836811,0.92,0.02,0.9
22,0.888230422952352,0.1313253096454294,0.91,0.02,0.89
23,0.9807849045065606,0.11370080465937715,0.96,0.02,0.94
24,0.8694424661649129,0.34856910112951023,0.93,0.07,0.8600000000000001
25,0.7345940931992538,0.10936190703883451,0.76,0.01,0.75
26,0.9195053374476241,0.17018627683867404,0.95,0.01,0.94
27,0.9962367901380692,0.40534021294674794,0.96,0.14,0.82
28,0.28241208658458494,0.09058666751650189,0.06,0.0,0.06
29,0.5957539096944049,0.2026348104467881,0.66,0.0,0.66
